city,county,state,population
Grover Beach,San Luis Obispo,California,"13,156"
Guadalupe,Santa Barbara,California,"7,080"
Gustine,Merced,California,"5,520"
Half Moon Bay,San Mateo,California,"11,324"
Hanford,Kings,California,"53,967"
Hawaiian Gardens,Los Angeles,California,"14,254"
Hawthorne,Los Angeles,California,"84,293"
Hayward,Alameda,California,"144,186"
Healdsburg,Sonoma,California,"11,254"
Hemet,Riverside,California,"78,657"
Hercules,Contra Costa,California,"24,060"
Hermosa Beach,Los Angeles,California,"19,506"
Hesperia,San Bernardino,California,"90,173"
Hidden Hills,Los Angeles,California,"1,856"
Highland,San Bernardino,California,"53,104"
Hillsborough,San Mateo,California,"10,825"
Hollister,San Benito,California,"34,928"
Holtville,Imperial,California,"5,939"
Hughson,Stanislaus,California,"6,640"
Huntington Beach,Orange,California,"189,992"
Huntington Park,Los Angeles,California,"58,114"
Huron,Fresno,California,"6,754"
Imperial,Imperial,California,"14,758"
Imperial Beach,San Diego,California,"26,324"
Indian Wells,Riverside,California,"4,958"
Indio,Riverside,California,"76,036"
Industry,Los Angeles,California,219
Inglewood,Los Angeles,California,"109,673"
Ione,Amador,California,"7,918"
Irvine,Orange,California,"212,375"
Irwindale,Los Angeles,California,"1,422"
Isleton,Sacramento,California,804
Jackson,Amador,California,"4,651"
Jurupa Valley,Riverside,California,95004
Kerman,Fresno,California,"13,544"
King City,Monterey,California,"12,874"
Kingsburg,Fresno,California,"11,382"
La Cañada Flintridge,Los Angeles,California,"20,246"
La Habra,Orange,California,"60,239"
La Habra Heights,Los Angeles,California,"5,325"
La Mesa,San Diego,California,"57,065"
La Mirada,Los Angeles,California,"48,527"
La Palma,Orange,California,"15,568"
La Puente,Los Angeles,California,"39,816"
La Quinta,Riverside,California,"37,467"
La Verne,Los Angeles,California,"31,063"
Lafayette,Contra Costa,California,"23,893"
Laguna Beach,Orange,California,"22,723"
Laguna Hills,Orange,California,"30,344"
Laguna Niguel,Orange,California,"62,979"
Laguna Woods,Orange,California,"16,192"
Lake Elsinore,Riverside,California,"51,821"
Lake Forest,Orange,California,"77,264"
Lakeport,Lake,California,"4,753"
Lakewood,Los Angeles,California,"80,048"
Lancaster,Los Angeles,California,"156,633"
Larkspur,Marin,California,"11,926"
Lathrop,San Joaquin,California,"18,023"
Lawndale,Los Angeles,California,"32,769"
Lemon Grove,San Diego,California,"25,320"
Lemoore,Kings,California,"24,531"
Lincoln,Placer,California,"42,819"
Lindsay,Tulare,California,"11,768"
Live Oak,Sutter,California,"8,392"
Livermore,Alameda,California,"80,968"
Livingston,Merced,California,"13,058"
Lodi,San Joaquin,California,"62,134"
Loma Linda,San Bernardino,California,"23,261"
Lomita,Los Angeles,California,"20,256"
Lompoc,Santa Barbara,California,"42,434"
Long Beach,Los Angeles,California,"462,257"
Loomis,Placer,California,"6,430"
Los Alamitos,Orange,California,"11,449"
Los Altos,Santa Clara,California,"28,976"
Los Altos Hills,Santa Clara,California,"7,922"
Los Angeles,Los Angeles,California,"3,792,621"
Los Banos,Merced,California,"35,972"
Los Gatos,Santa Clara,California,"29,413"
Loyalton,Sierra,California,769
Lynwood,Los Angeles,California,"69,772"
Madera,Madera,California,"61,416"
Malibu,Los Angeles,California,"12,645"
Mammoth Lakes,Mono,California,"8,234"
Manhattan Beach,Los Angeles,California,"35,135"
Manteca,San Joaquin,California,"67,096"
Maricopa,Kern,California,"1,154"
Marina,Monterey,California,"19,718"
Martinez,Contra Costa,California,"35,824"
Marysville,Yuba,California,"12,072"
Maywood,Los Angeles,California,"27,395"
McFarland,Kern,California,"12,707"
Mendota,Fresno,California,"11,014"
Menifee,Riverside,California,"77,519"
Menlo Park,San Mateo,California,"32,026"
Merced,Merced,California,"78,958"
Mill Valley,Marin,California,"13,903"
Millbrae,San Mateo,California,"21,532"
Milpitas,Santa Clara,California,"66,790"
Mission Viejo,Orange,California,"93,305"
Modesto,Stanislaus,California,"201,165"
Monrovia,Los Angeles,California,"36,590"
Montague,Siskiyou,California,"1,443"
Montclair,San Bernardino,California,"36,664"
Monte Sereno,Santa Clara,California,"3,341"
Montebello,Los Angeles,California,"62,500"
Monterey,Monterey,California,"27,810"
Monterey Park,Los Angeles,California,"60,269"
Moorpark,Ventura,California,"34,421"
Moraga,Contra Costa,California,"16,016"
Moreno Valley,Riverside,California,"193,365"
Morgan Hill,Santa Clara,California,"37,882"
Morro Bay,San Luis Obispo,California,"10,234"
Mount Shasta,Siskiyou,California,"3,394"
Mountain View,Santa Clara,California,"74,066"
Murrieta,Riverside,California,"103,466"
Napa,Napa,California,"76,915"
National City,San Diego,California,"58,582"
Needles,San Bernardino,California,"4,844"
Nevada City,Nevada,California,"3,068"
Newark,Alameda,California,"42,573"
Newman,Stanislaus,California,"10,224"
Newport Beach,Orange,California,"85,186"
Norco,Riverside,California,"27,063"
Norwalk,Los Angeles,California,"105,549"
Novato,Marin,California,"51,904"
Oakdale,Stanislaus,California,"20,675"
Oakland,Alameda,California,"390,724"
Oakley,Contra Costa,California,"35,432"
Oceanside,San Diego,California,"167,086"
Ojai,Ventura,California,"7,461"
Ontario,San Bernardino,California,"163,924"
Orange,Orange,California,"134,616"
Orange Cove,Fresno,California,"9,078"
Orinda,Contra Costa,California,"17,643"
Orland,Glenn,California,"7,291"
Oroville,Butte,California,"15,546"
Oxnard,Ventura,California,"197,899"
Pacific Grove,Monterey,California,"15,041"
Pacifica,San Mateo,California,"37,234"
Palm Desert,Riverside,California,"48,445"
Palm Springs,Riverside,California,"44,552"
Palmdale,Los Angeles,California,"152,750"
Palo Alto,Santa Clara,California,"64,403"
Palos Verdes Estates,Los Angeles,California,"13,438"
Paradise,Butte,California,"26,218"
Paramount,Los Angeles,California,"54,098"
Parlier,Fresno,California,"14,494"
Pasadena,Los Angeles,California,"137,122"
Paso Robles,San Luis Obispo,California,"29,793"
Patterson,Stanislaus,California,"20,413"
Perris,Riverside,California,"68,386"
Petaluma,Sonoma,California,"57,941"
Pico Rivera,Los Angeles,California,"62,942"
Piedmont,Alameda,California,"10,667"
Pinole,Contra Costa,California,"18,390"
Pismo Beach,San Luis Obispo,California,"7,655"
Pittsburg,Contra Costa,California,"63,264"
Placentia,Orange,California,"50,533"
Placerville,El Dorado,California,"10,389"
Pleasant Hill,Contra Costa,California,"33,152"
Pleasanton,Alameda,California,"70,285"
Plymouth,Amador,California,"1,005"
Point Arena,Mendocino,California,449
Pomona,Los Angeles,California,"149,058"
Port Hueneme,Ventura,California,"21,723"
Porterville,Tulare,California,"54,165"
Portola,Plumas,California,"2,104"
Portola Valley,San Mateo,California,"4,353"
Poway,San Diego,California,"47,811"
Rancho Cordova,Sacramento,California,"64,776"
Rancho Cucamonga,San Bernardino,California,"165,269"
Rancho Mirage,Riverside,California,"17,218"
Rancho Palos Verdes,Los Angeles,California,"41,643"
Rancho Santa Margarita,Orange,California,"47,853"
Red Bluff,Tehama,California,"14,076"
Redding,Shasta,California,"89,861"
Redlands,San Bernardino,California,"68,747"
Redondo Beach,Los Angeles,California,"66,747"
Redwood City,San Mateo,California,"76,815"
Reedley,Fresno,California,"24,194"
Rialto,San Bernardino,California,"99,171"
Richmond,Contra Costa,California,"103,701"
Ridgecrest,Kern,California,"27,616"
Rio Dell,Humboldt,California,"3,368"
