id,label,parent_label,label_manual,parent_label_manual
12775,Amphibious Vehicle,Vehicle,NULL,NULL
123791,Amphiprion,Animal,NULL,NULL
123790,Amphiprion,Fish,NULL,NULL
123789,Amphiprion,Sea Life,NULL,NULL
16471,Amplifier,Electronics,NULL,NULL
9104,Anaconda,Animal,NULL,NULL
9106,Anaconda,Reptile,NULL,NULL
9101,Anaconda,Snake,NULL,NULL
40034,Analog Clock,Clock,NULL,NULL
7954,Andalusian Horse,Animal,NULL,NULL
7953,Andalusian Horse,Horse,NULL,NULL
7955,Andalusian Horse,Mammal,NULL,NULL
2352,Andrena,Animal,NULL,NULL
2353,Andrena,Bee,NULL,NULL
2354,Andrena,Insect,NULL,NULL
2355,Andrena,Invertebrate,NULL,NULL
4149,Anemone,Flower,NULL,NULL
4150,Anemone,Plant,NULL,NULL
21983,Angel,Art,NULL,NULL
157136,Angelfish,Animal,NULL,NULL
157131,Angelfish,Fish,NULL,NULL
157126,Angelfish,Sea Life,NULL,NULL
53922,Angler,Fishing,NULL,NULL
53918,Angler,Leisure Activities,NULL,NULL
53925,Angler,Outdoors,NULL,NULL
53920,Angler,Person,NULL,NULL
53916,Angler,Water,NULL,NULL
23652,Angora,Animal,NULL,NULL
23644,Angora,Cat,NULL,NULL
23646,Angora,Mammal,NULL,NULL
23649,Angora,Pet,NULL,NULL
10663,Angus,Animal,NULL,NULL
10657,Angus,Bull,NULL,NULL
10659,Angus,Cattle,NULL,NULL
10661,Angus,Mammal,NULL,NULL
299088,Anhinga,Animal,NULL,NULL
299086,Anhinga,Bird,NULL,NULL
51779,Anise,Plant,NULL,NULL
258397,Anklet,Accessories,NULL,NULL
258394,Anklet,Jewelry,NULL,NULL
258391,Anklet,Ornament,NULL,NULL
11016,Antelope,Animal,NULL,NULL
11008,Antelope,Mammal,NULL,NULL
11012,Antelope,Wildlife,NULL,NULL
203307,Antenna,Electrical Device,NULL,NULL
3683,Anther,Flower,NULL,NULL
3682,Anther,Plant,NULL,NULL
332132,Anthracite,Coal,NULL,NULL
30561,Anthurium,Flower,NULL,NULL
30562,Anthurium,Plant,NULL,NULL
18629,Anthus,Animal,NULL,NULL
18624,Anthus,Bird,NULL,NULL
10590,Antique Car,Car,NULL,NULL
10591,Antique Car,Transportation,NULL,NULL
10589,Antique Car,Vehicle,NULL,NULL
896,Anvil,Tool,NULL,NULL
3451,Apartment Building,Building,NULL,NULL
3450,Apartment Building,City,NULL,NULL
3452,Apartment Building,High Rise,NULL,NULL
3449,Apartment Building,Urban,NULL,NULL
38776,Ape,Animal,NULL,NULL
38779,Ape,Mammal,NULL,NULL
38773,Ape,Wildlife,NULL,NULL
67632,Aphid,Animal,NULL,NULL
67628,Aphid,Insect,NULL,NULL
67630,Aphid,Invertebrate,NULL,NULL
3548,Apiaceae,Flower,NULL,NULL
3547,Apiaceae,Plant,NULL,NULL
15038,Apidae,Animal,NULL,NULL
15040,Apidae,Bee,NULL,NULL
15044,Apidae,Insect,NULL,NULL
15042,Apidae,Invertebrate,NULL,NULL
36788,Appenzeller,Animal,NULL,NULL
36796,Appenzeller,Canine,NULL,NULL
36792,Appenzeller,Dog,NULL,NULL
36790,Appenzeller,Mammal,NULL,NULL
36794,Appenzeller,Pet,NULL,NULL
2213,Apple,Food,NULL,NULL
2211,Apple,Fruit,NULL,NULL
2212,Apple,Plant,NULL,NULL
63679,Apple Pie,Cake,NULL,NULL
63681,Apple Pie,Dessert,NULL,NULL
63683,Apple Pie,Food,NULL,NULL
63685,Apple Pie,Pie,NULL,NULL
7598,Apricot,Food,NULL,NULL
7596,Apricot,Fruit,NULL,NULL
7600,Apricot,Plant,NULL,NULL
7599,Apricot,Produce,NULL,NULL
289253,Aqua Scuba,Diving,NULL,NULL
289255,Aqua Scuba,Outdoors,NULL,NULL
289251,Aqua Scuba,Sport,NULL,NULL
289257,Aqua Scuba,Water,NULL,NULL
10734,Aquarium,Animal,NULL,NULL
10736,Aquarium,Sea Life,NULL,NULL
10738,Aquarium,Water,NULL,NULL
882,Aquatic,Water,NULL,NULL
15283,Aquilegia,Flower,NULL,NULL
15287,Aquilegia,Plant,NULL,NULL
1317,Araceae,Flower,NULL,NULL
1318,Araceae,Plant,NULL,NULL
3500,Arachnid,Animal,NULL,NULL
3499,Arachnid,Invertebrate,NULL,NULL
355,Arbour,Garden,NULL,NULL
356,Arbour,Outdoors,NULL,NULL
50863,Arch,Architecture,NULL,NULL
50864,Arch,Building,NULL,NULL
102232,Arch Bridge,Arch,NULL,NULL
102237,Arch Bridge,Architecture,NULL,NULL
102230,Arch Bridge,Bridge,NULL,NULL
102234,Arch Bridge,Building,NULL,NULL
21985,Archangel,Art,NULL,NULL
50861,Arched,Architecture,NULL,NULL
50862,Arched,Building,NULL,NULL
238067,Archery,Bow,NULL,NULL
238064,Archery,Person,NULL,NULL
238061,Archery,Sport,NULL,NULL
160,Architecture,Building,Outdoors,NULL
103723,Arctic Fox,Animal,NULL,NULL
103727,Arctic Fox,Canine,NULL,NULL
103729,Arctic Fox,Fox,NULL,NULL
103725,Arctic Fox,Mammal,NULL,NULL
103721,Arctic Fox,Wildlife,NULL,NULL
5216,Ardeidae,Animal,NULL,NULL
5217,Ardeidae,Bird,NULL,NULL
5218,Ardeidae,Waterfowl,NULL,NULL
5145,Arecaceae,Plant,NULL,NULL
5146,Arecaceae,Tree,NULL,NULL
22485,Arena,Building,NULL,NULL
342877,Arenaria,Flower,NULL,NULL
342876,Arenaria,Plant,NULL,NULL
298,Armchair,Furniture,NULL,NULL
30431,Armory,Weapon,NULL,NULL
12795,Army,Armored,NULL,NULL
12792,Army,Military,NULL,NULL
12789,Army,Military Uniform,NULL,NULL
13366,Army,Person,NULL,NULL
16465,Arrow,Symbol,NULL,NULL
50060,Art Gallery,Art,NULL,NULL
50681,Artichoke,Food,NULL,NULL
50679,Artichoke,Plant,NULL,NULL
50683,Artichoke,Produce,NULL,NULL
50685,Artichoke,Vegetable,NULL,NULL
26832,Arugula,Food,NULL,NULL
26830,Arugula,Plant,NULL,NULL
26828,Arugula,Produce,NULL,NULL
26826,Arugula,Vegetable,NULL,NULL
120963,Asilidae,Animal,NULL,NULL
120962,Asilidae,Insect,NULL,NULL
120964,Asilidae,Invertebrate,NULL,NULL
24131,Asparagus,Food,NULL,NULL
24132,Asparagus,Plant,NULL,NULL
24133,Asparagus,Vegetable,NULL,NULL
171949,Assembly Line,Building,NULL,NULL
171955,Assembly Line,Factory,NULL,NULL
3859,Aster,Flower,NULL,NULL
3858,Aster,Plant,NULL,NULL
3546,Asteraceae,Flower,NULL,NULL
3545,Asteraceae,Plant,NULL,NULL
77797,Astragalus,Flower,NULL,NULL
77798,Astragalus,Plant,NULL,NULL
3053,Astronaut,Person,NULL,NULL
19378,Athlete,Person,NULL,NULL
19376,Athlete,Sport,NULL,NULL
39729,Atlas,Diagram,NULL,NULL
39719,Atlas,Map,NULL,NULL
39724,Atlas,Plot,NULL,NULL
173174,Atm,Machine,NULL,NULL
96100,Atoll,Beach,NULL,NULL
96090,Atoll,Coast,NULL,NULL
96110,Atoll,Island,NULL,NULL
96105,Atoll,Land,NULL,NULL
96086,Atoll,Nature,NULL,NULL
96122,Atoll,Outdoors,NULL,NULL
96094,Atoll,Sea,NULL,NULL
96115,Atoll,Shoreline,NULL,NULL
96119,Atoll,Water,NULL,NULL
25965,Attic,Loft,NULL,NULL
52845,Attorney,Person,NULL,NULL
22754,Atv,Transportation,NULL,NULL
22751,Atv,Vehicle,NULL,NULL
17393,Audience,Crowd,NULL,NULL
17392,Audience,Person,NULL,NULL
20090,Audio Speaker,Electronics,NULL,NULL
237112,Auditorium,Hall,NULL,NULL
237114,Auditorium,Indoors,NULL,NULL
237118,Auditorium,Room,NULL,NULL
237116,Auditorium,Theater,NULL,NULL
34434,Autograph,Handwriting,NULL,NULL
34437,Autograph,Text,NULL,NULL
260,Automobile,Transportation,NULL,NULL
259,Automobile,Vehicle,NULL,NULL
275297,Avalanche,Nature,NULL,NULL
275299,Avalanche,Outdoors,NULL,NULL
275295,Avalanche,Snow,NULL,NULL
1326,Avocado,Food,NULL,NULL
1327,Avocado,Fruit,NULL,NULL
1328,Avocado,Plant,NULL,NULL
21125,Awning,Canopy,NULL,NULL
749,Axe,Tool,NULL,NULL
64072,Axle,Machine,NULL,NULL
2955,Azure Sky,Nature,NULL,NULL
2953,Azure Sky,Outdoors,NULL,NULL
2954,Azure Sky,Sky,NULL,NULL
36080,Baboon,Animal,NULL,NULL
36086,Baboon,Mammal,NULL,NULL
36082,Baboon,Monkey,NULL,NULL
36084,Baboon,Wildlife,NULL,NULL
770,Baby,Person,NULL,NULL
16574,Backpack,Bag,NULL,NULL
710,Backyard,Nature,NULL,NULL
711,Backyard,Outdoors,NULL,NULL
709,Backyard,Yard,NULL,NULL
30078,Bacon,Food,NULL,NULL
30074,Bacon,Pork,NULL,NULL
39725,Badge,Logo,NULL,NULL
39720,Badge,Symbol,NULL,NULL
283834,Badger,Animal,NULL,NULL
283839,Badger,Mammal,NULL,NULL
